Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
Automobile shop,36.969306700000004,11.4488467,25.520459999999996,67.40322126950517,2.6411444491794103,2.9639005583333335,13,5.6169351057920975
Police station ,45.8949889,4.6667799,41.228209,199.23119534161796,4.832399955613351,1.5967192359999995,26,5.837853857030703
Fire Station,75.5053833,1.8404633000000001,73.66492000000001,416.0257788014399,5.6475426675470475,1.1359798969230774,66,5.680672158886299
Bank,35.8884241,1.4786331,34.409791,228.3199844988243,6.635320292960348,1.2169960035714287,29,5.3226677236271405
Pawn Shop,127.5459908,1.0832708,126.46271999999999,758.9671339990297,6.001508855724673,1.0448410067796603,119,6.088482765813581
Pizzeria,18.7773972,4.673612200000001,14.103784999999998,122.64692181134656,8.696028889503532,1.1735857466666664,16,5.410337923559084
Quattroki Restaurant,201.75975319999998,9.2428942,192.51685899999998,1257.603165792235,6.532431353413235,1.0578047443850267,188,6.359441994398393
High School,20.4857086,1.9308225999999997,18.554885999999996,208.12766002796377,11.216865467562766,0.7050416631578947,20,6.088986385161639
