Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
Automobile shop,19.3870467,7.4430496999999995,11.943997000000001,56.56630805124032,4.735961341185895,1.7262313699999996,11,5.656630805124032
Police station ,58.7140546,6.111178600000001,52.602875999999995,235.968837990287,4.485854309378198,1.5200298222222228,37,5.159470909907417
Fire Station,24.666375700000003,6.1874907,18.478885000000002,137.43733370096317,7.437533904289309,1.2553535105263163,20,4.639693054752348
Bank,222.4685172,4.4512941999999995,218.017223,936.9771395715758,4.297720733611839,1.1678812983783784,186,4.642382390708603
Pawn Shop,34.7841865,10.541446500000001,24.242739999999994,143.2218294151637,5.907823513974235,1.4743446304347825,24,4.19252816871731
Pizzeria,16.3955943,2.8196253000000002,13.575968999999999,136.34838592794836,10.04336308722776,0.8809086647058824,18,5.2089944669691475
Quattroki Restaurant,124.92777120000001,6.5832282,118.344543,686.1962182966228,5.798292011627631,0.9638145809523806,127,4.904462515757747
High School,34.151830000000004,7.6110120000000006,26.540818,345.90600779759717,13.03298217099402,0.7271878604651166,44,5.926519803519723
