0
Completion Time per Trial per Block:
Target Name,Block 1,Block 2,Block 3
Automobile shop,21.23324,39.51327,21.485
Bank,32.85386,29.16629,16.54146
Fire Station,16.28427,14.29134,9.520676
High School,54.7621,11.18016,42.36705
Pawn Shop,73.44977,54.98467,53.76275
Pizzeria,75.22092,27.70777,92.80983
Police station ,110.4631,31.3397,24.95775
Quattroki Restaurant,312.0199,130.5252,56.66608
0
Completion Time per Block:
,Block 1,Block 2,Block 3
0,696.28716,338.7084,318.110596
0
"Mean Dwell Time Per Trial Per Block:
"
Target Name,Block 1,Block 2,Block 3
Automobile shop,2.1911333333333336,1.1742545454545454,1.892008181818182
Bank,0.9740969121212122,2.005440485714286,1.9756371499999998
Fire Station,1.0374687266666667,0.8411349,0.5953574200000001
High School,0.6553019378048781,0.4577038782608695,0.4792385238095238
Pawn Shop,1.0542249101449275,1.2444743348837208,0.7652583671428571
Pizzeria,1.4593998960784313,1.7471911,0.8782235371428571
Police station ,0.9062876825,0.8773614514285715,1.8584144999999999
Quattroki Restaurant,1.0689416058419243,1.0349236677419356,1.2094936404761907
0
"Mean Dwell Time Per Block:
"
,Block 1,Block 2,Block 3
0,1.1683568755614218,1.1728105454354911,1.2067039150487013
0
"Max Dwell Time Per Trial Per Block:
"
Target Name,Block 1,Block 2,Block 3
Automobile shop,7.048351,6.188626,6.847112
Bank,4.674330000000001,12.562456800000001,9.0277072
Fire Station,4.3264809,5.3197614,4.5348933
High School,4.603300000000001,2.1870382,3.180745
Pawn Shop,4.749859999999998,6.839858400000001,4.228909999999999
Pizzeria,9.34715,7.4027875000000005,9.340107399999999
Police station ,4.74987999999999,4.3821538,11.047539999999998
Quattroki Restaurant,7.458300000000008,6.1457400000000035,17.277630000000002
0
"Max Dwell Time Per Block:
"
,Block 1,Block 2,Block 3
0,9.34715,12.562456800000001,17.277630000000002
0
"BNC32 - Total Distance Per Trial Per Block:
"
Target Name,Block 1,Block 2,Block 3
Automobile shop,62.321852344789605,194.67076799808285,63.33054227778227
Bank,208.31761473939477,78.1140071208099,46.78893678959521
Fire Station,93.57495211624688,90.45990566029027,89.31026207917074
High School,483.7383475845505,137.27749453782943,472.71894900301635
Pawn Shop,415.0711440118705,247.50491318282886,399.8502842855115
Pizzeria,281.539214859671,86.30168533625702,597.8757509072274
Police station ,743.1431178685666,198.15994804343404,77.11683803308865
Quattroki Restaurant,1619.1448437572622,748.3092031771747,259.3373305889338
0
"BNC32 - Total Distance Per Block:
"
,Block 1,Block 2,Block 3
0,3906.8510872823517,1780.797925056707,2006.328893964326
0
Completion Time Serial Subtraction per Trial per Block:
Target Name,Control,Serial Subtraction
Bank #1 || Task: None,14.14233,
Bank #2 || Task: None,7.479174,
Bank #3 || Task: None,6.777591,
Bank Square  #2 || Task: Count backwards from 84 by 3s,,8.388741
Bank Square #1 || Task: Count backwards from 56 by 3s,,9.621732
Bank Square #3 || Task: Count backwards from 61 by 3s,,7.597033
0
Completion Time per Block:
,Control,Serial Subtraction
0,28.399095000000003,25.607505999999997
