Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
Automobile shop,9.488707699999999,2.9820116999999997,6.506695999999999,61.01767431019536,9.377674062257615,0.8273512699999997,11,6.101767431019535
Police station ,15.2287331,1.8680741,13.360658999999998,146.88442833823225,10.99380115443649,0.8837926,16,6.4941939732834495
Fire Station,9.381965099999999,3.1877261,6.194239,135.9482638525797,21.947532836976375,0.46952715384615373,14,6.9863796293878915
Bank,47.5616147,2.8543297,44.707285,372.63106900740564,8.33490714113831,1.060305675,45,6.652059423522238
Pawn Shop,47.915706799999995,4.8611758,43.054531,334.94987414439805,7.779666073807611,1.0017409953488374,44,6.7292280094664525
Pizzeria,12.937341700000001,3.9656017,8.97174,116.85570430000882,13.024865221240118,0.7407361666666668,13,6.520709725930176
Quattroki Restaurant,14.2770683,3.3332513,10.943817,187.1080976007554,17.097151533213268,0.7075835166666666,19,6.686060186600293
High School,9.089945199999999,2.1180331999999997,6.971912,213.32805992421316,30.598214653916052,0.38039022222222213,19,6.777402565918113
