Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
Automobile shop,7.2280107,1.5396777000000001,5.688332999999999,64.83077912131539,11.397149063058615,0.4037491307692308,14,4.9869830093319525
Police station ,6.791325200000001,1.4790792000000001,5.312246000000001,123.37039665048209,23.223773268497368,0.32507525000000004,17,4.150233582061752
Fire Station,6.992902,2.194714,4.798188,137.95596394438707,28.751679580789055,0.3358763571428572,15,6.611973032835844
Bank,6.2984504999999995,1.5278295,4.770620999999999,135.32997973210865,28.36737182268486,0.47012169999999986,11,5.529000009933952
Pawn Shop,7.7773696,1.6040856000000001,6.173284000000001,108.35558020564952,17.55234008441042,0.593425418181818,12,5.921807160942538
Pizzeria,6.4861876,2.4862225999999996,3.9999650000000004,123.65538784928613,30.91411746084931,0.3008057692307694,14,6.307570373415544
Quattroki Restaurant,7.2635645,1.5765075000000002,5.687057,192.6876748928513,33.881790685912115,0.3549159722222223,19,6.757526593104794
High School,7.604132,1.6528619999999998,5.95127,204.95907933426435,34.43955312635191,0.34310652941176467,18,6.6790860298681105
