Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
Automobile shop,26.089156699999997,4.0827067,22.006449999999997,121.51357601026803,5.52172549458309,1.4131529833333336,19
Police station ,74.93540390000001,2.0761868999999997,72.859217,553.9048857349837,7.602399648832127,0.9765741053333331,76
Fire Station,68.4010753,2.9653283000000004,65.43574699999999,620.3299573236579,9.479985875666063,0.8271363740740737,82
Bank,150.0732069,2.4794449,147.593762,953.181887456504,6.45814480598783,1.1100586261194019,135
Pawn Shop,33.415599,2.4586759999999996,30.956923,207.8324660179914,6.71360218901573,1.2332993599999997,26
Pizzeria,51.9709559,1.8539689000000001,50.116987,330.6588574922572,6.597740153298864,1.1793867883720923,44
Quattroki Restaurant,29.4021908,3.4514478,25.950742999999996,206.69555317599807,7.964918506418028,1.1482656727272724,23
High School,51.9289005,2.9587305,48.970169999999996,588.7993687460884,12.023633341401274,0.6709472770270273,75
