0
Time to Complete per Trial per Block:
Target Name,Block 1,Block 2,Block 3
Automobile shop,26.48249,38.85047,23.09345
Bank,150.0801,11.20928,9.319308
Fire Station,68.40798,51.43571,10.41662
High School,51.93584,31.0478,24.95057
Pawn Shop,33.42245,50.55381,17.19995
Pizzeria,51.97808,13.62478,25.01421
Police station ,74.94271,10.13934,14.49258
Quattroki Restaurant,29.40911,25.95813,26.90208
0
Time to Complete per Block:
,Block 1,Block 2,Block 3
0,486.65876000000003,232.81932,151.388768
0
"Mean Dwell Time Per Trial Per Block:
"
Target Name,Block 1,Block 2,Block 3
Automobile shop,1.4412022222222223,0.95203425,0.5855032432432433
Bank,1.1110866186567163,1.2986840375,0.7676530454545456
Fire Station,0.8066517938271603,0.9101947607142857,0.62106905
High School,0.6756540608108107,0.5762251,0.42793810535714283
Pawn Shop,1.31163676,1.1072205044444445,0.8197557400000001
Pizzeria,1.1961919976744186,0.9037651142857143,0.6017541275
Police station ,0.9907140520000002,0.837167109090909,0.7028233578947368
Quattroki Restaurant,1.155263672727273,0.8003894580645161,0.4859646148148148
0
"Mean Dwell Time Per Block:
"
,Block 1,Block 2,Block 3
0,1.0860501472398252,0.9232100417624837,0.6265576605330605
0
"Max Dwell Time Per Trial Per Block:
"
Target Name,Block 1,Block 2,Block 3
Automobile shop,4.463109,2.6667500000000004,1.999955
Bank,5.895900000000012,2.9729843,2.090547
Fire Station,3.354230000000001,4.826435,1.7639828
High School,4.5208330000000005,3.1384631,2.0346600000000006
Pawn Shop,4.986892000000001,3.13879,3.00005
Pizzeria,3.541470000000004,2.2362656,2.2650401000000002
Police station ,3.2568520000000003,2.0911302,2.8750560000000007
Quattroki Restaurant,3.4582458,2.9446212000000003,3.4650300000000005
0
"Max Dwell Time Per Block:
"
,Block 1,Block 2,Block 3
0,5.895900000000012,4.826435,3.4650300000000005
0
"BNC01 - Total Distance Per Trial Per Block:
"
Target Name,Block 1,Block 2,Block 3
Automobile shop,121.51357601026803,232.97833729246025,185.18215124752192
Bank,873.6480334573089,48.82375892151035,61.81458535843799
Fire Station,563.1682073645314,334.21906170591916,91.53592458900589
High School,495.1492276919431,320.43717734553167,365.3075613701976
Pawn Shop,168.0116387961104,226.24076077881463,86.28977883232761
Pizzeria,292.23890050095775,84.11887799840702,249.54836930880788
Police station ,505.5386113424228,68.82333762525157,95.19127615120736
Quattroki Restaurant,137.24896448409686,160.06189583476308,342.78017286270455
0
"BNC01 - Total Distance Per Block:
"
,Block 1,Block 2,Block 3
0,3156.5171596476393,1475.7032075026577,1477.6498197202109
0
Time to Complete Serial Subtraction per Trial per Block:
Target Name,Control,Serial Subtraction
Bank #1 || Task: None,6.421934,
Bank #2 || Task: None,5.771228,
Bank #3 || Task: None,4.979101,
Bank Square  #2 || Task: Count backwards from 84 by 3s,,8.50011
Bank Square #1 || Task: Count backwards from 56 by 3s,,11.78885
Bank Square #3 || Task: Count backwards from 61 by 3s,,8.01367
0
Time to Complete per Block:
,Control,Serial Subtraction
0,17.172263,28.30263
