Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Dwell,Teleportations
Automobile shop,6.0788397,2.1485397,3.9303,60.300505539869896,15.342468905648397,,5.002606700000001,10
Police station ,7.0208359,3.6736869,3.3471490000000004,101.75177913432488,30.399536780204546,,3.291659000000001,9
Fire Station,5.6317864,2.1798844,3.451902,132.7028399021062,38.44339726391601,,3.3612740000000008,14
Bank,20.576021400000002,6.902608399999999,13.673413000000002,159.1639513770996,11.640396686408842,,17.4515624,13
Pawn Shop,38.589506,2.5902659999999997,35.99924,292.903669441722,8.136384808171561,,37.93627800000001,40
Pizzeria,7.0974049,2.5557499000000004,4.5416549999999996,127.50318310701992,28.074167480141035,,4.450980000000001,14
Quattroki Restaurant,88.6095152,5.3264352,83.28308,546.4597401844295,6.561473713321235,,85.18784219999998,84
High School,61.547461899999995,11.062711899999998,50.48475,598.9310242799473,11.86360285591089,,60.435811900000026,81
