Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Dwell,Teleportations
Automobile shop,17.0129467,3.2844496999999997,13.728496999999999,56.6578806947466,4.127027211700349,,14.423303699999998,10
Police station ,27.499395800000002,8.0070638,19.492332,130.4745779152056,6.693636139339592,,19.395800000000005,15
Fire Station,21.3258669,7.736354899999999,13.589512000000001,140.6162564145384,10.347410298069452,,13.485929999999994,16
Bank,27.8049297,5.5415877,22.263341999999998,170.46105196069612,7.6565796797577,,26.9966107,17
Pawn Shop,31.4787138,13.742853799999999,17.735860000000002,111.86173345719823,6.307093845869228,,27.103803799999994,13
Pizzeria,165.4695221,1.3889671000000001,164.080555,661.0036915235055,4.028531543689047,,163.43772110000003,145
Quattroki Restaurant,101.33790249999998,8.368034499999998,92.969868,578.7171136071653,6.22478149164593,,98.41286549999992,138
High School,26.8191234,6.020940400000001,20.798182999999998,247.65566716594614,11.907562654196578,,20.576668,33
