Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
Automobile shop,11.1036167,2.5317857,8.571831,73.25642837309633,8.546182066946528,0.7934717,12,6.659675306645119
Police station ,13.5412167,2.8680527,10.673164,156.59271373632544,14.671630056122574,0.5860018888888888,19,5.727381722283361
Fire Station,9.9163153,3.0137983,6.902517000000001,143.97482924679935,20.858308533944836,0.524017923076923,14,7.005304875549907
Bank,27.5202898,3.0343128,24.485977000000002,223.50852537945758,9.128021535732781,0.8999405185185183,28,5.333149637818857
Pawn Shop,13.117677700000002,4.8957307,8.221947,124.17287127950559,15.102611495732774,0.9062087642857143,15,5.647959833885831
Pizzeria,25.0547796,3.6380576,21.416722,200.4842992784696,9.361110410756119,0.8245849111111111,28,5.977052018805136
Quattroki Restaurant,11.548328099999999,4.0834711,7.464856999999999,185.25350890803367,24.816752539001577,0.6156505352941174,18,6.9672244383455455
High School,13.145587,3.541976,9.603611,206.17715746759987,21.4687118696915,0.5579988235294118,18,6.787904637911491
