Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Dwell,Teleportations
Automobile shop,13.2736167,5.8712667,7.40235,64.02829627674339,8.64972559751206,,12.308753700000004,12
Police station ,51.3045367,1.6877667,49.616769999999995,362.81706729358956,7.312387873970627,,50.11235570000001,52
Fire Station,41.3603641,4.8265141,36.53385,317.3728140827071,8.687089208575255,,38.6929641,45
Bank,13.3678144,1.6110533999999999,11.756761000000001,160.11834947332926,13.619256993769733,,12.777151400000001,14
Pawn Shop,20.291124599999996,6.2704176,14.020707,143.38678050762184,10.226786745320464,,19.0937796,17
Pizzeria,15.7704394,2.9513043999999997,12.819135,134.18043474596462,10.46719882004243,,12.721121,15
Quattroki Restaurant,14.5548781,1.6596451,12.895233,191.66373891935416,14.863146630956894,,13.5277041,20
High School,20.166435399999997,1.8467334,18.319702,245.19564321790327,13.384259373755276,,18.153232999999997,25
