,Participant,Block_Num,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Var_X,Var_Y,Var_Z,Teleportations
0,BNC01,1,486.216489,22.32649,463.889999,3582.916551957748,7.302544314301287,1.0859230006541303,12.131193909672328,86.54500052751985,5.714046092055489,480
1,BNC01,2,232.37661839999998,17.8623404,214.51427800000002,1896.9889397402978,9.14169207464129,0.9114268541160699,11.746511332150654,94.71493059876116,6.240091776902572,264
2,BNC01,3,150.94681279999998,12.4231538,138.523659,1899.1982334193763,12.437849620553607,0.6265181152794441,9.619923987536758,59.977056761117595,4.647153740707242,261
3,BNC02,1,385.3212062,48.2869982,337.034208,2219.530369694198,7.9125986097406145,1.2080621409179142,12.447916281224494,64.49497686368969,4.8318133547075774,319
4,BNC02,2,86.7717586,17.4804336,69.291325,1230.0024173157876,13.999321036110926,0.6234065520536507,10.890079853669869,40.21457271302733,4.087843880541913,149
5,BNC02,3,69.58403440000001,16.9963624,52.587672000000005,1076.1162126453078,15.567842023232252,0.5478778903978141,11.024853438863927,43.11526835165523,4.222447768681436,133
6,BNC03,1,577.7808674,39.630190400000004,538.1506770000001,4472.467198255636,8.951867577888867,1.1306504795532852,10.978314501838913,102.49777496668821,6.978067151528222,598
7,BNC03,2,206.4729997,23.3743437,183.098656,2167.3295143312553,10.89860395645978,0.7394920721424503,10.043140170317631,86.31121642442135,6.015027286456263,294
8,BNC03,3,194.5401175,24.050553500000003,170.489564,2243.030413056303,12.74669424425254,0.6063331969288753,9.77471755467404,74.77146941350155,7.345904814716652,330
9,BNC04,1,502.93138949999997,42.4289855,460.502404,2633.8131865921287,5.730886729921979,1.4483762879382147,6.280421492682334,66.2287109492095,4.694826077129189,346
10,BNC04,2,208.5845526,26.540200600000002,182.044352,1593.559639580102,7.734213502059176,1.0624326822413812,6.744335191721875,44.123309542400946,3.9381224108172628,204
11,BNC04,3,190.08920940000002,26.7247014,163.364508,1618.7631245172133,9.05607448582724,0.9616594209296039,7.706529138728097,83.32279571031174,4.371384605570968,200
12,BNC05,1,469.20342669999997,42.128229700000006,427.07519699999995,2661.959107056763,7.002603025812004,1.5851108485315055,10.04860503659932,68.08834711457807,5.182603197487143,326
13,BNC05,2,180.6409125,27.3172185,153.323694,1625.9527772409413,11.91439179978271,0.9118757587647859,10.558063693262637,78.81047700317725,5.258235950471099,188
14,BNC05,3,58.7001032,15.977760199999999,42.722342999999995,1084.1927808222558,18.6118455470561,0.5529865064943609,7.044853938698808,53.359056967779274,3.5897994191945863,111
15,BNC07,1,436.0099998,91.4742478,344.535752,2567.2331207121365,5.8987490715096635,1.231628935221786,13.510583619621348,79.26790724893326,7.3476012205825345,394
16,BNC07,2,189.8393845,18.8558315,170.983553,1769.5106808199628,10.38695105359482,0.7401186190449318,9.196230225127973,86.73128196327477,5.9659442432196474,281
17,BNC07,3,126.6109993,14.279707299999998,112.33129199999999,1526.0057538675865,13.920581772242492,0.5209624228803051,7.97601867133103,47.67095754619477,4.591013234970987,234
18,BNC08,1,402.5484192,29.623777200000003,372.924642,3598.333129221659,8.870373526590878,0.8842474030732995,7.708395423695669,71.10768031994344,3.9955172739878515,552
19,BNC08,2,272.35106989999997,21.4652169,250.885853,3190.1469062572514,12.548461340116855,0.5887370151086967,6.20772026046817,83.39329331462471,4.369638137560258,504
20,BNC08,3,154.50733309999998,20.1225291,134.384804,1992.4616210021038,13.645321684529844,0.5847808452500889,5.6592209057009955,91.48454236286591,4.51412851223442,297
21,BNC09,1,983.7732879,35.7690129,948.0042750000001,3087.9997969929536,3.529474565757855,2.3838353742109804,9.113906097816907,46.182802232372126,4.6948170100070765,441
22,BNC09,2,339.7531019,29.0806029,310.672499,1546.3501534187944,5.4382782958385025,1.4023687680467543,8.995069105599102,43.10207443909229,4.719096962051808,236
23,BNC09,3,380.51296709999997,19.563174099999998,360.949793,2189.1699450604283,7.053488607871046,0.9554407229575266,9.802208026241338,45.92873590219003,4.899650041006149,369
24,BNC11,1,373.7697235,43.477244500000005,330.29247899999996,2202.062886873483,6.827523425041446,1.5415194975951207,6.726912418512946,67.32106520123655,4.088319168748729,260
25,BNC11,2,143.9248436,22.7895976,121.135246,1247.8535657194886,9.210025740092366,1.1551279685593325,6.476720481417389,70.21153816640121,3.849991934642274,126
