Unnamed: 0,Participant,Block_Num,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
0,BNC06,1,28.7953334125,4.3384505375,24.456882875,288.02252527069817,14.003589505049424,0.5753911466700121,44.0,5.315426500239328
1,BNC06,2,19.614717375,4.20528575,15.409431625,210.77315350028067,14.853132801587204,0.5813789825780232,33.125,4.804454694078473
2,BNC06,3,14.3488125625,2.1400985625000004,12.208714,174.72259203796554,15.90953645198895,0.4343004334182599,30.25,4.203234617960811
3,BNC10,1,68.029757725,4.7818149000000005,63.247942825,305.15788684669326,6.079984748861689,1.643266300085518,44.375,5.804396923794208
4,BNC10,2,87.66264885,3.5871985875,84.0754502625,504.7926971170326,7.531215483358486,0.9029938030596664,92.625,4.909060279010593
5,BNC10,3,62.276203900000006,4.32256225,57.95364165,476.3459654602495,8.853324716290583,0.6926630879705432,88.875,4.644933448056282
6,BNC13,1,143.5527036375,10.0571232625,133.495580375,663.2854631569878,5.862373262435236,1.395571035999537,118.125,5.226114764160148
7,BNC13,2,40.6165898875,7.4815935125,33.134996375,207.98544328692145,9.29014922896896,1.037463488240912,34.375,4.914045608814039
8,BNC13,3,24.741707625,3.3784853750000003,21.36322225,187.3721907654344,12.511946020366285,0.7022034561968915,30.125,4.774117174068069
9,BNC14,1,95.6356436875,6.6749958125,88.96064787499999,470.1514770112773,7.009971352193634,0.6140817319834997,140.625,2.978825221076053
10,BNC14,2,37.86382725,3.87327075,33.9905565,272.7940713764879,10.73481449712662,0.4573089829346768,74.125,3.024974842103001
11,BNC14,3,22.68579405,2.803484175,19.882309875,212.465508511245,13.8717492365954,0.3774352413346004,51.625,3.070230633977656
12,BNC15,1,79.264078925,12.185664050000002,67.078414875,335.35490992380096,7.17026305103262,1.872199509525725,42.25,6.8219397556256425
13,BNC15,2,42.067931375,7.692148874999999,34.3757825,259.8991998917336,9.445252400943293,1.368603269745864,31.75,6.687212229076754
14,BNC15,3,30.221059525,5.01150665,25.209552875,221.75027318100413,11.286193135745396,1.033068480703638,26.5,6.619455456510801
15,BNC16,1,266.628561375,14.27933315,252.349228225,929.8123365298944,4.11760549803246,1.2445842348684897,225.875,4.036554029643487
16,BNC16,2,73.7105857375,5.9484434875000005,67.76214225000001,428.612402370756,7.045586406083165,0.8118256070152161,88.75,4.221811417981598
17,BNC16,3,79.82525456249999,5.1807634375,74.644491125,439.5231753151664,8.805059981003527,0.8716440073929815,83.625,5.049115193754417
18,BNC17,1,130.7921928875,18.5369327625,112.255260125,291.11718760853444,3.141017610402698,4.426967718362437,35.125,6.95185855013469
19,BNC17,2,140.354642825,4.4208592,135.93378362500002,669.4119674084948,5.516226499422773,1.531941434484234,92.375,6.5867095619845255
20,BNC17,3,102.461112325,5.87562015,96.585492175,491.45604803320725,6.509254981432234,1.3641490026879244,68.5,6.435494163116236
21,BNC18,1,84.28628373750001,19.0458321125,65.24045162499999,450.00522500684025,9.906873674441457,0.968161796270888,80.875,4.940803146317133
22,BNC18,2,47.7212705625,8.3143771875,39.406893375,283.7159579641027,9.411422446763329,0.9714949154187836,52.25,4.453123396621455
23,BNC18,3,28.2334200125,6.9925187625,21.24090125,209.180492899979,13.217270592707733,0.6399110234397796,42.25,3.9382153742815977
24,BNC19,1,66.936922025,6.46854065,60.468381375,334.8277575939248,6.967441384036111,1.214468967210635,58.375,5.041335264432041
25,BNC19,2,46.3594990875,7.2051262125,39.15437287500001,299.10003921543824,10.309754957710348,0.8634218062299307,55.125,4.851118075108827
26,BNC19,3,13.6697538375,2.7978435875,10.87191025,143.04965000498072,13.614612507726864,0.6642797274872965,19.625,4.782099842677443
27,BNC20,1,67.459713,5.540661999999999,61.919051,435.33240060058426,10.330029669103986,1.0111933382057996,61.5,6.258074428250442
28,BNC20,2,24.155369725,4.01597385,20.139395875,213.55725389171977,14.236838767886228,0.8414901740784178,27.375,5.954885128377439
29,BNC20,3,15.6184763625,3.4508981125,12.16757825,164.17754170866095,15.494166063491086,0.7134843830880856,19.0,6.263206558905656
30,BNC24,1,70.35336910000001,4.54566535,65.80770375,407.2906326927453,6.525405241438045,1.361858606977136,59.625,5.800672239283617
31,BNC24,2,32.005603775,3.4271530625,28.5784507125,261.1456781617878,11.10977833197289,0.8739058370388152,35.25,6.1045191250351
32,BNC24,3,36.21709063749999,2.2534020125,33.963688625,281.76680771344206,11.612595186500654,0.8097495315640417,39.625,5.934552324044335
33,BNC25,1,107.8888076625,7.3600916625,100.528716,506.6836269608048,6.018522151421566,1.7666338173662606,76.625,6.294822580671681
34,BNC25,2,107.122455575,5.98769145,101.134764125,527.7785169310498,6.778310566365763,1.092706126992598,91.5,5.222823210619707
35,BNC25,3,66.4298919875,4.26965545,62.1602365375,392.21691107187263,8.090319911017925,0.9305435774792424,66.0,5.284043827458695
36,BNC39,1,243.47421835,10.034297969565218,176.78399452500005,552.0726770673542,3.910470295871325,2.817770667726774,80.25,6.28104981735849
37,BNC39,2,36.196189375,10.034297969565218,28.93527085,186.75839401402595,8.663276104461328,1.5047393840209589,21.375,6.478075923147328
38,BNC39,3,43.339002125,10.034297969565218,34.68567875,225.0110546963156,9.879657240615536,1.255675555407738,29.5,6.155935989035845
39,BNC40,1,171.899851125,21.237318,150.66253312499998,573.9865614046219,4.114381380928317,3.611977295914337,75.25,7.006541963244656
40,BNC40,2,94.87922395,7.828418825,87.050805125,385.7796559964924,4.941006636607558,2.166258670905761,49.375,6.868526225094692
