,Participant,Block_Num,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
0,BNC01,1,60.777061125,2.79081125,57.986249875,447.8645689947185,7.795268751900376,1.0698526483733168,60.0,6.676279816087844
1,BNC01,2,29.047077299999998,2.23279255,26.814284750000002,237.12361746753723,10.660596306724736,0.8533055227132407,33.0,5.829340687912969
2,BNC01,3,18.868351599999997,1.552894225,17.315457375,237.39977917742203,13.794916074956532,0.6023857648162322,32.625,5.597477710333914
3,BNC02,1,48.165150775,6.035874775,42.129276,277.4412962117747,10.064623375472394,1.0967911080403603,39.875,6.054401347606857
4,BNC02,2,10.846469825,2.1850542,8.661415625,153.75030216447345,18.005842490820896,0.5879475700735486,18.625,5.6220551076064105
5,BNC02,3,8.698004300000001,2.1245453,6.573459000000001,134.51452658066347,20.52058164043985,0.5014683017713197,16.625,5.282349721310137
6,BNC03,1,72.222608425,4.9537738000000004,67.26883462500001,559.0583997819544,10.535148034367104,1.1233262095484937,74.75,6.843358507082633
7,BNC03,2,25.8091249625,2.9217929625,22.887332,270.9161892914069,12.733196016042433,0.7170318176144519,36.75,6.113333309593641
8,BNC03,3,24.3175146875,3.0063191875000004,21.3111955,280.3788016320379,15.631733129521239,0.5808697585181788,41.25,5.5752559655107765
9,BNC04,1,62.866423687499996,5.3036231875,57.5628005,329.2266483240161,6.368140854326863,1.3972771680655174,43.25,6.468412632285036
10,BNC04,2,26.073069075,3.3175250750000003,22.755544,199.19495494751274,9.041020207967911,1.0444079005119087,25.5,5.973782733930848
11,BNC04,3,23.761151175000002,3.340587675,20.4205635,202.34539056465167,10.901231405487842,0.9417747532839033,25.0,6.17416853726926
12,BNC05,1,58.650428337499996,5.266028712500001,53.38439962499999,332.7448883820954,9.691998394090266,1.4908591179768549,40.75,7.05441609067868
13,BNC05,2,22.5801140625,3.4146523125,19.16546175,203.24409715511766,15.402130419131447,0.7862044278889191,23.5,6.560931734749282
14,BNC05,3,7.3375129,1.9972200249999998,5.340292874999999,135.52409760278198,26.354971024149584,0.4828522621993285,13.875,6.49959797030677
15,BNC07,1,54.501249975,11.434280975,43.066969,320.90414008901706,8.317160168494064,1.1838723544396723,49.25,5.49998399687029
16,BNC07,2,23.7299230625,2.3569789375,21.372944125,221.18883510249535,12.373320039140784,0.7433357523198421,35.125,4.965405994079855
17,BNC07,3,15.8263749125,1.7849634124999998,14.041411499999999,190.7507192334483,16.509497750589198,0.5110007191391284,29.25,5.021567261980622
18,BNC08,1,50.3185524,3.7029721500000004,46.61558025,449.79164115270737,10.905754243243624,0.8205289175047341,69.0,5.900046499016239
19,BNC08,2,34.043883737499996,2.6831521125,31.360731625,398.76836328215643,14.672424539931443,0.583368324685059,63.0,5.620314505749375
