,Participant,Block_Num,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
0,BNC06,1,28.7953334125,4.3384505375,24.456882874999998,288.02252527069817,14.003589505049423,0.5753911466700121,44.0
1,BNC06,2,19.614717374999998,4.20528575,15.409431625,210.77315350028067,14.853132801587204,0.5813789825780232,33.125
2,BNC06,3,14.348812562500001,2.1400985625000004,12.208714,174.72259203796554,15.90953645198895,0.4343004334182599,30.25
3,BNC10,1,68.029757725,4.7818149000000005,63.247942824999996,305.15788684669326,6.079984748861689,1.643266300085518,44.375
4,BNC10,2,87.66264885,3.5871985874999996,84.0754502625,504.7926971170326,7.531215483358486,0.9029938030596663,92.625
5,BNC10,3,62.276203900000006,4.32256225,57.95364165,476.3459654602495,8.853324716290583,0.6926630879705432,88.875
6,BNC13,1,143.5527036375,10.0571232625,133.495580375,663.2854631569878,5.862373262435236,1.395571035999537,118.125
7,BNC13,2,40.6165898875,7.4815935125,33.134996375,207.98544328692142,9.29014922896896,1.037463488240912,34.375
8,BNC13,3,24.741707625,3.3784853750000003,21.36322225,187.37219076543442,12.511946020366285,0.7022034561968915,30.125
9,BNC14,1,95.6356436875,6.6749958125,88.96064787499999,470.1514770112773,7.009971352193634,0.6140817319834997,140.625
10,BNC14,2,37.86382725,3.87327075,33.9905565,272.7940713764879,10.73481449712662,0.4573089829346768,74.125
11,BNC14,3,22.68579405,2.803484175,19.882309874999997,212.465508511245,13.871749236595399,0.3774352413346004,51.625
12,BNC15,1,79.264078925,12.185664050000002,67.078414875,335.35490992380096,7.17026305103262,1.8721995095257251,42.25
13,BNC15,2,42.067931375,7.692148874999999,34.3757825,259.8991998917336,9.445252400943293,1.368603269745864,31.75
14,BNC15,3,30.221059525,5.01150665,25.209552875,221.75027318100413,11.286193135745396,1.0330684807036379,26.5
15,BNC16,1,266.628561375,14.27933315,252.349228225,929.8123365298945,4.11760549803246,1.2445842348684897,225.875
16,BNC16,2,73.7105857375,5.9484434875000005,67.76214225000001,428.61240237075594,7.045586406083165,0.8118256070152161,88.75
17,BNC16,3,79.82525456249999,5.1807634375,74.644491125,439.52317531516644,8.805059981003527,0.8716440073929815,83.625
18,BNC17,1,130.7921928875,18.5369327625,112.25526012499999,291.11718760853444,3.141017610402698,4.426967718362437,35.125
19,BNC17,2,140.354642825,4.4208592,135.93378362500002,669.4119674084948,5.516226499422773,1.531941434484234,92.375
