Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
Automobile shop,8.4175927,2.9318807,5.485712,56.15999487174687,10.237503330788577,0.4318392764705883,18,3.3035291101027573
Police station ,14.055341,7.8472360000000005,6.208105,112.13130287622073,18.06208220966313,0.4066919333333333,16,4.170922770998699
Fire Station,27.908648400000004,3.6525734,24.256075,269.235474055435,11.099713125698822,0.5338795372549022,52,4.394766554859828
Bank,10.1595139,3.1667329,6.992781000000001,123.90191630082221,17.71854664128938,0.5757791666666667,13,3.6923019558970824
Pawn Shop,6.6708259,3.0251129,3.6457129999999998,80.21497705185436,22.00254848690897,0.5041578090909091,12,3.759798297098852
Pizzeria,8.8887522,2.0418552,6.846897000000001,117.60107514112556,17.175820687988374,0.3534307368421052,20,4.17772851459618
Quattroki Restaurant,10.721774400000001,1.3958454,9.325928999999999,172.02583521473696,18.445973073002914,0.3502181214285712,29,3.7145675742667623
High School,10.0621028,1.4305387999999999,8.631564,201.67946291931594,23.36534409283369,0.3126049629629629,28,4.127375044045206
