Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Dwell,Teleportations
Automobile shop,39.602206699999996,8.6863007,30.915905999999996,64.4946905309045,2.086132961165832,,37.0331917,10
Police station ,115.3937172,19.0759972,96.31772,216.67255859579674,2.2495607100728376,,109.87932719999999,26
Fire Station,69.7628201,11.909540100000001,57.853280000000005,174.69676871030308,3.0196519317539656,,66.9417401,19
Bank,25.1246499,4.3959089,20.728741,128.55236340309284,6.201648397415591,,20.67302,9
Pawn Shop,110.2202643,4.1321613,106.088103,450.9302914037737,4.250526483669651,,103.86237530000004,68
Pizzeria,37.6037163,4.4862773,33.117439,131.7346036674047,3.977801655116047,,33.020872999999995,15
Quattroki Restaurant,78.4084785,5.749985499999999,72.65849299999999,293.55616798413257,4.040218230016587,,76.60514250000003,38
High School,134.71951339999998,5.1389554,129.58055800000002,529.3131655370859,4.084819310139765,,129.5565404,69
