Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
Automobile shop,7.9071377,2.0534007000000005,5.853737,57.217783206178886,9.774573611041783,0.62665867,11,5.721778320617888
Police station ,10.5481172,3.4443091999999997,7.103808,104.1606573152291,14.662650977507994,0.7822984444444445,10,5.952669239781334
Fire Station,7.2773608,1.6528798000000002,5.624481,135.92551229261917,24.166765305566713,0.39481521428571437,15,6.19852738364105
Bank,80.151386,1.999883,78.151503,619.2393484567717,7.923575679111017,0.831410279569892,94,5.789802141389451
Pawn Shop,15.1939013,2.6944033000000003,12.499497999999999,134.76740764581152,10.78182560978141,0.8935733937499998,17,5.699963214137201
Pizzeria,26.0969908,2.9377088000000002,23.159282,163.59103466583247,7.063735165271206,1.072766817391304,24,5.381635068486664
Quattroki Restaurant,16.687251099999997,2.6945050999999998,13.992745999999999,191.18793036332139,13.663360312787884,0.8201594789473683,20,6.304659960143937
High School,24.3052468,4.7224958,19.582751000000002,240.51431199578403,12.281947107216142,0.8532084214285712,29,5.30743141121678
