Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
Automobile shop,27.3735567,10.0336867,17.33987,61.84143957465874,3.566430404302843,2.8363074111111115,10,6.871271063850971
Police station ,89.61666649999998,7.638844499999999,81.97782199999999,445.88718446772344,5.439119673949419,1.5451208859649124,58,6.945871112917418
Fire Station,13.8468541,3.9029531,9.943901,141.18798081404788,14.198449965868312,0.82171525,13,7.071877391393627
Bank,15.2912779,2.6040399,12.687238,135.55843655895478,10.684629433053496,1.579326,9,7.101146717141914
Pawn Shop,58.24181039999999,2.6526074,55.589203,288.4699707563932,5.189316543293366,1.5430173828571432,36,7.029455935331556
Pizzeria,40.1174357,6.1246847,33.992751,227.27300736847891,6.685925695407204,1.300357884615384,27,7.198132444234687
Quattroki Restaurant,108.96999869999999,6.3121146999999995,102.657884,666.4225896008005,6.491684453585664,1.2236846317647057,86,7.007502517391968
High School,20.3121235,4.208313500000001,16.10381,235.42227773242564,14.61904218519876,0.7982713499999997,21,7.185054671412814
