Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
Automobile shop,150.0365667,23.671326699999998,126.36524,484.26536725781216,3.832267222044703,0.9151322155279511,162
Police station ,14.0618482,3.6385452,10.423303,113.00531704375946,10.84160338078625,0.5721608333333331,19
Fire Station,17.1802011,3.0279260999999997,14.152275000000001,137.6789771997118,9.728398946438773,0.4353143437500001,33
Bank,73.1027011,5.590033099999999,67.512668,415.9274398823148,6.160731788622466,0.5938281540540542,112
Pawn Shop,133.7260158,2.9236728,130.80234299999998,603.8077021139069,4.616184146746568,0.6739158455026457,190
Pizzeria,184.1767526,6.423816599999999,177.75293599999998,855.0095435433051,4.810100821869436,0.6612344355555554,271
Quattroki Restaurant,22.5825307,3.6248126999999997,18.957718,195.69575500805925,10.322748497897228,0.4862730613636365,45
High School,170.2185333,4.4998333,165.71869999999998,955.8217140413487,5.767736013143652,0.5747949667808215,293
