Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Dwell,Teleportations
Automobile shop,23.602996700000002,5.3118267,18.29117,63.60196284259484,3.477194889260492,,22.0338647,10
Police station ,62.1375035,2.4929925,59.644511,336.1997650767774,5.636725986013657,,60.973791500000004,41
Fire Station,13.8469132,2.9721532,10.874759999999998,141.74454627537526,13.034268919532503,,10.784502,14
Bank,20.3190991,2.1252091,18.193889999999996,133.66282926070613,7.346577848976011,,18.139055000000003,9
Pawn Shop,27.902236700000003,4.8540507,23.048186,192.55346770889454,8.354387096185988,,25.7559977,24
Pizzeria,78.2138538,3.3401438000000003,74.87370999999999,413.82509818174896,5.526974664161146,,75.61091680000001,56
Quattroki Restaurant,18.3258176,2.8472806,15.478537,196.85816680355106,12.718137819068499,,17.326715600000004,20
High School,46.207629,4.951471000000001,41.256158,318.57867206705043,7.72196655023113,,43.807627000000004,38
