Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
Automobile shop,29.229986699999998,8.5637907,20.666196,59.394038265217674,2.873970529710338,2.9923230777777783,10,6.599337585024185
Police station ,78.0126157,8.312681699999999,69.699934,203.17228924638016,2.9149566948855385,3.4206046681818183,23,6.96887060648925
Fire Station,130.5956248,18.048434800000003,112.54718999999999,384.69365577101934,3.418065397910151,2.310752543396227,54,6.403602560776382
Bank,417.648094,8.256891,409.391203,1298.4482519092455,3.171656455718335,2.251561798913043,185,6.617557603612079
Pawn Shop,760.3522725,430.04687250000006,330.30539999999996,919.1089535538362,2.7826034740995342,5.811065942307699,131,6.732512816795081
Pizzeria,127.27593689999999,0.21602069999999998,127.0599162,340.94450203819395,2.683336430834148,2.1513527240740746,55,5.560231839247062
Quattroki Restaurant,376.3872074,51.9235474,324.46366,1002.3908113939839,3.0893777484787783,2.3155352633540374,162,5.78319342696898
High School,28.2920088,8.1535518,20.138457,208.42891436095692,10.349795635333777,1.2889693238095237,22,5.583092099954901
