Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Dwell,Teleportations
Automobile shop,38.0077467,6.7029077,31.304839,119.87514140605546,3.8292847123748333,,36.847052700000006,18
Police station ,31.3462682,8.1872352,23.159033,133.86799856485493,5.780379455603994,,23.082430000000002,12
Fire Station,18.9023178,5.7083238,13.193994,137.25343580258763,10.402720798765532,,17.386356799999998,14
Bank,17.228810499999998,3.0203055,14.208504999999999,147.51075079661732,10.381862891037258,,13.778695499999996,11
Pawn Shop,205.19068670000001,3.5763287000000004,201.614358,962.0112191838459,4.7715412172373455,,203.16568970000003,135
Pizzeria,19.6945792,3.9449472,15.749632,125.38845006879845,7.961357450688273,,18.277642200000003,14
Quattroki Restaurant,81.21239990000001,21.242499900000002,59.9699,348.33248301073576,5.808455291917041,,78.21689989999999,43
High School,17.8051739,7.2854609,10.519713000000001,213.78159386739202,20.321998695914232,,10.396019000000003,19
