,Automobile shop,Police station ,Fire Station,Bank,Pawn Shop,Pizzeria,Quattroki Restaurant,High School
0,BNC37,BNC05,BNC36,BNC28,BNC33,BNC27,BNC35,BNC11
1,3,3,3,1,1,3,2,3
