,Participant,Block_Num,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Dwell,Teleportations
0,BNC01,1,60.777061125,2.79081125,57.986249875,447.8645689947185,7.795268751900376,58.86047162499998,60.0
1,BNC01,2,29.047077299999998,2.23279255,26.814284750000002,237.12361746753723,10.660596306724736,27.1478102875,33.0
2,BNC01,3,18.868351599999997,1.552894225,17.315457375,237.39977917742203,13.794916074956532,17.4972075625,32.625
3,BNC02,1,48.165150775,6.035874775,42.129276,277.4412962117747,10.064623375472394,45.0718055375,39.875
4,BNC02,2,10.846469825,2.1850542,8.661415625,153.75030216447345,18.005842490820896,9.3740759875,18.625
5,BNC02,3,8.698004300000001,2.1245453,6.573459000000001,134.51452658066347,20.52058164043985,7.3886203875,16.625
6,BNC03,1,72.222608425,4.9537738000000004,67.26883462500001,559.0583997819544,10.535148034367104,70.15268181249996,74.75
7,BNC03,2,25.8091249625,2.9217929625,22.887332,270.9161892914069,12.733196016042433,24.132406987499998,36.75
8,BNC03,3,24.3175146875,3.0063191875000004,21.3111955,280.3788016320379,15.631733129521239,22.578824687500003,41.25
9,BNC04,1,62.866423687499996,5.3036231875,57.5628005,329.2266483240161,6.368140854326863,59.449215837500006,43.25
10,BNC04,2,26.073069075,3.3175250750000003,22.755544,199.19495494751274,9.041020207967911,24.5336407,25.5
11,BNC04,3,23.761151175000002,3.340587675,20.4205635,202.34539056465167,10.901231405487842,22.173382825,25.0
12,BNC05,1,58.650428337499996,5.266028712500001,53.38439962499999,332.7448883820954,9.691998394090266,54.46112877499999,40.75
13,BNC05,2,22.5801140625,3.4146523125,19.16546175,203.24409715511766,15.402130419131447,19.4995042875,23.5
14,BNC05,3,7.3375129,1.9972200249999998,5.340292874999999,135.52409760278198,26.354971024149584,5.7557160375,13.875
15,BNC07,1,54.501249975,11.434280975,43.066969,320.90414008901706,8.317160168494064,51.227625100000026,49.25
16,BNC07,2,23.7299230625,2.3569789375,21.372944125,221.18883510249535,12.373320039140784,22.583279574999995,35.125
17,BNC07,3,15.8263749125,1.7849634124999998,14.041411499999999,190.7507192334483,16.509497750589198,14.993048074999999,29.25
