Unnamed: 0,Participant,Block_Num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
7,BNC16,2,High School,93.8660357,7.9999327,85.866103,619.1694397,7.210871556,0.729148391,128,4.14965105
0,BNC16,3,Automobile shop,12.8267467,4.7241677,8.102579,66.91945401,8.259031354,0.844887407,15,4.779961001
1,BNC16,3,Police station ,63.8177698,4.1525498,59.66522,457.5463668,7.668560793,0.745197817,84,4.871649469
2,BNC16,3,Fire Station,14.0204431,4.4167181,9.603725,150.0248916,15.6215314,0.899670873,16,6.291807363
3,BNC16,3,Bank,299.8877022,8.5412242,291.346478,1282.790677,4.402973002,1.040092455,287,4.206856429
4,BNC16,3,Pawn Shop,80.0677024,6.7706634,73.297039,477.3606775,6.51268706,0.990602208,80,5.487572084
5,BNC16,3,Pizzeria,110.6358283,4.3262243,106.309604,539.1750043,5.071743135,0.98170203,112,4.474547101
6,BNC16,3,Quattroki Restaurant,18.408252,2.604206,15.804046,196.445854,12.43009885,0.670904269,27,4.877266933
7,BNC16,3,High School,38.937592,5.910354,33.027238,345.9224774,10.47385426,0.800095,48,5.403261171
0,BNC17,1,Automobile shop,157.3826667,78.0807167,79.30195,90.4853347,1.141022821,12.0449059,14,6.960410362
1,BNC17,1,Police station ,144.9416167,32.2010267,112.74059,241.1961048,2.139390124,5.193378026,28,7.112391283
2,BNC17,1,Fire Station,155.2186602,9.5831152,145.635545,343.848691,2.361021762,3.557468386,43,6.937943939
3,BNC17,1,Bank,36.5201099,6.4027819,30.117328,127.1948887,4.22331253,4.295473429,8,6.930982809
4,BNC17,1,Pawn Shop,303.3982987,5.0766137,298.321685,682.1090752,2.28648841,3.207197722,92,7.033268488
5,BNC17,1,Pizzeria,49.6514671,4.6455411,45.005926,160.6065926,3.56856545,2.640412882,18,7.052913139
6,BNC17,1,Quattroki Restaurant,156.781455,6.479202,150.302253,448.1794655,2.981854607,2.81934913,55,7.008804813
7,BNC17,1,High School,42.4432688,5.8264648,36.616804,235.3173482,6.42648518,1.657556273,23,6.57815357
0,BNC17,2,Automobile shop,21.1864867,7.3678967,13.81859,57.74164557,4.178548287,1.9883213,10,6.415738396
1,BNC17,2,Police station ,55.5052101,4.0136481,51.491562,312.3323557,6.065699768,1.379332766,39,6.838407776
2,BNC17,2,Fire Station,26.0895846,1.1181676,24.971417,146.6180766,5.871435994,1.553816625,17,6.182414041
3,BNC17,2,Bank,75.5608014,3.4860004,72.074801,311.2223533,4.318046655,1.870011484,39,6.097652783
4,BNC17,2,Pawn Shop,157.3228346,2.6802646,154.64257,792.8748211,5.127144622,1.420177142,111,6.773946536
