,Participant,Block_Num,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Dwell,Teleportations
56,BNC45,3,35.74669225,3.4745795,32.27211275,246.8078949,10.21149383,33.50690523,32.25
57,BNC46,1,172.2486446,10.81243386,161.4362108,874.2940402,6.070520794,169.1169088,127.375
58,BNC46,2,40.21362264,4.413868513,35.79975412,225.8164801,7.056938375,36.96171297,37.25
59,BNC46,3,146.7301069,3.881306312,142.8488006,799.0749524,6.664671195,141.5430874,143.375
60,BNC47,1,225.5993534,16.400963,209.1983904,1182.032774,6.712739126,222.3885584,181
61,BNC47,2,128.4916072,9.040265213,119.451342,733.1960474,7.999528779,125.1328506,127.25
62,BNC47,3,60.19245061,4.979199362,55.21325125,507.1016451,10.0597458,57.50563714,81.625
63,NAV053,1,165.5451327,13.6330549,151.9120778,755.2177925,6.584772025,159.0939365,116.875
64,NAV053,2,99.58082341,5.332629275,94.24819414,669.5671408,8.893316746,95.0932998,101.875
65,NAV053,3,28.82202859,5.067481213,23.75454738,217.8811025,11.12003003,24.91361012,31.75
66,NAV058,1,100.498473,9.49366425,91.00480875,499.936436,7.105849687,94.01012973,77
67,NAV058,2,45.89381633,5.066499575,40.82731675,265.1806473,7.571879654,42.71627043,42.625
68,NAV058,3,47.85416644,3.541036875,44.31312956,293.5588776,7.615985389,44.43888449,48.25
69,NAV059,1,76.3544208,7.9468908,68.40753,248.7438262,3.73879496,72.19652628,31.75
70,NAV059,2,59.08365056,5.410323937,53.67332663,291.2968148,8.118630978,56.69744456,43.5
71,NAV059,3,30.53726509,3.740163838,26.79710125,194.1175657,10.34918987,27.73050783,29.5
72,NAV060,1,48.87332103,6.36698605,42.50633498,249.5994753,9.134071802,46.52051708,30.625
73,NAV060,2,34.45203529,4.628601038,29.82343425,232.4057143,9.491993839,31.59859885,28
74,NAV060,3,20.73513533,3.14627545,17.58885987,196.0903964,14.89422658,18.22936606,22.625
75,NAV062,1,87.90711049,5.824959488,82.082151,452.0892447,7.06993918,85.72181999,66.125
76,NAV062,2,38.60391034,3.493261463,35.11064887,256.7735977,8.390859139,36.46396449,36
77,NAV062,3,23.52092396,2.774948213,20.74597575,205.8254982,12.53980422,21.82493984,27.5
78,NAV064,1,184.6778968,8.515527463,176.1623694,945.7638502,6.281126981,178.2785069,207.5
79,NAV064,2,53.53019079,7.449193413,46.08099738,429.745363,11.70772478,51.64186178,86.125
80,NAV064,3,39.64972558,5.415933825,34.23379175,389.1413855,14.62257509,38.53329408,75.5
81,NAV065,1,164.4819901,12.93569326,151.5462969,935.4947281,7.293280938,161.3975304,212.75
82,NAV065,2,130.7113551,11.48690475,119.2244504,817.4888501,9.511410131,126.9700989,184
83,NAV065,3,62.66252395,5.74749545,56.9150285,475.9328076,11.03529916,60.9125767,100
