,Participant,Block_num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
6,BNC40,3,Quattroki Restaurant,221.1148779,0.3607069,220.754171,931.5155478,4.219696251,1.759778401,125
7,BNC40,3,High School,22.0619243,3.2773853,18.784539,242.4066826,12.90458513,0.967623241,23
0,BNC41,1,Automobile shop,35.0897867,10.0827267,25.00706,73.37215513,2.934057627,2.325030609,12
1,BNC41,1,Police station ,129.7468764,10.4997964,119.24708,443.5182837,3.719321963,2.301359025,56
2,BNC41,1,Fire Station,55.4169743,9.5149743,45.902,232.792916,5.071520107,1.632446643,29
3,BNC41,1,Bank,76.8522418,5.5694568,71.282785,314.5222513,4.412317101,2.050728383,37
4,BNC41,1,Pawn Shop,16.2573339,3.4242089,12.833125,109.8492286,8.559819109,1.43205079,11
5,BNC41,1,Pizzeria,57.5894492,3.9580852,53.631364,217.2966699,4.051671516,1.768311523,32
6,BNC41,1,Quattroki Restaurant,177.2057482,5.5346232,171.671125,783.8626234,4.566071454,1.178596084,146
7,BNC41,1,High School,15.1108765,4.7014215,10.409455,214.7544791,20.63071305,0.697586925,21
0,BNC41,2,Automobile shop,9.0718907,1.9196037,7.152287,56.63710111,7.918739993,0.79956027,11
1,BNC41,2,Police station ,13.3956437,5.2499447,8.145699,99.96163157,12.27170702,0.8076619,11
2,BNC41,2,Fire Station,101.1648957,4.5348437,96.630052,484.9668203,5.018799124,0.96913501,100
3,BNC41,2,Bank,24.312094,2.874995,21.437099,154.0137444,7.184448996,1.146651529,18
4,BNC41,2,Pawn Shop,92.2416416,4.7779716,87.46367,396.2570985,4.530533632,0.942259746,97
5,BNC41,2,Pizzeria,27.749489,6.166736,21.582753,135.5793814,6.281839089,0.931457435,24
6,BNC41,2,Quattroki Restaurant,45.5406035,4.7142875,40.826316,320.3768445,7.847312122,0.689948617,65
7,BNC41,2,High School,10.4927055,2.4307475,8.061958,217.4783887,26.97587717,0.329109875,25
0,BNC41,3,Automobile shop,36.0110667,28.7198467,7.29122,59.34993068,8.139917693,2.919001392,13
1,BNC41,3,Police station ,15.5342872,5.2637802,10.270507,103.8986527,10.11621458,0.84896025,13
2,BNC41,3,Fire Station,18.833006,6.854151,11.978855,139.9543392,11.68344881,0.59198135,21
3,BNC41,3,Bank,203.6288741,5.8543301,197.774544,944.2611016,4.774431949,0.754114499,268
4,BNC41,3,Pawn Shop,160.1220267,7.4236237,152.698403,653.084081,4.276954232,0.750635765,211
5,BNC41,3,Pizzeria,20.7497073,3.7501523,16.999555,132.1280109,7.772439389,0.646906,27
6,BNC41,3,Quattroki Restaurant,19.2563655,3.7501475,15.506218,198.3997845,12.7948533,0.494210014,38
7,BNC41,3,High School,26.3182384,2.1936374,24.124601,273.2962484,11.32852926,0.465811328,51
0,BNC42,1,Automobile shop,33.2101667,14.8495167,18.36065,78.50547845,4.275746144,2.741926064,12
1,BNC42,1,Police station ,72.318368,6.729022,65.589346,406.7657425,6.201704505,1.37551318,51
2,BNC42,1,Fire Station,14.9304507,6.4374207,8.49303,137.5590025,16.19669335,0.700822583,13
3,BNC42,1,Bank,194.3231973,5.8539513,188.469246,1199.955661,6.366851282,1.099696179,176
4,BNC42,1,Pawn Shop,159.9339223,3.0831753,156.850747,1061.43682,6.767177337,0.949978616,167
5,BNC42,1,Pizzeria,160.6502009,7.3333129,153.316888,1114.848222,7.27152916,0.907180428,176
6,BNC42,1,Quattroki Restaurant,11.4719014,2.8330844,8.638817,189.1209631,21.89199784,0.53374652,21
7,BNC42,1,High School,12.7915274,2.9306234,9.860904,233.4201375,23.67127167,0.404001458,25
0,BNC42,2,Automobile shop,12.3040267,2.5888427,9.715184,63.29718625,6.515284348,1.2413433,10
1,BNC42,2,Police station ,53.8533581,3.5070041,50.346354,340.1224828,6.755652709,1.08755513,47
